
==================== AREA: Sociabilidad ====================

--- Manada ---
ID: 6c23b04f-9399-4acf-a032-d3c64e665799 | 11 a 13 años | Participo en las elecciones de mi patrulla y coopero con las que son elegidas.
ID: 78f8cd16-ebf9-4a01-9efe-6cdfd7d307fd | 11 a 13 años | Digo mi opinión cuando establecemos normas en mi patrulla, amigas o en mi escuela.
ID: 944660c8-0093-4181-ba2c-5f95cc74ba47 | 13 a 15 años | No me gusta cuando no se respetan los derechos humanos y lo digo.
ID: de2f5693-de4b-48f1-b870-3c62be99aea8 | 13 a 15 años | Respeto las normas de convivencia de los distintos ambientes en que actúo, aunque no siempre esté de acuerdo con ellas.
ID: 5b72f437-583d-4e96-b3df-69a8e24e6482 | 13 a 15 años | Sé cómo se toman las decisiones en mi país y quiénes intervienen en ellas.
ID: e2770a37-9927-47ed-a4d6-bae9feaf691c | 13 a 15 años | Opino sobre lo que me gusta o no de las normas de los distintos ambientes en que actúo.
ID: edd3b4b5-1096-44fe-8b8b-7364449cd520 | 11 a 13 años | Trato de realizar una buena acción todos los días.
ID: 518e0a94-ba79-45e4-a31f-bc7e3636d2d3 | 11 a 13 años | Conozco las distintas realidades sociales del lugar en que vivo.
ID: e169f226-166a-4dcc-bbf3-46cbdebd6dfb | 13 a 15 años | Mantengo una agenda de direcciones útiles.
ID: b3d92c8b-c7c8-42bc-bc03-4e925e019a87 | 13 a 15 años | Propongo actividades de servicio de mi patrulla y Compañía y colaboro en su organización.
ID: 5676c7f9-7ae5-4c1c-aece-adb2aa0f35cd | 13 a 15 años | Conozco las diferentes posiciones políticas que hay en mi país.
ID: b0f283cd-6264-45ed-8581-a374c4d304d9 | 11 a 13 años | Conozco los principales productos propios de la cultura de mi país.
ID: 09467abf-7e86-4946-8039-52e03147e1fe | 11 a 13 años | Participo en las actividades de mi patrulla que muestran la cultura de mi país.
ID: ef616bd7-c049-44c1-80f0-bedf6419458e | 13 a 15 años | Conozco la geografía de mi país y su influencia en nuestra cultura.
ID: 8b70124d-391d-4667-a0d1-78924cb04afd | 13 a 15 años | Propongo en mi patrulla y Compañía actividades que muestren los valores propios de la cultura de nuestro país.
ID: db923b30-d3f1-4840-8b46-c7e5994c99ce | 11 a 13 años | Participo en actividades organizadas por mi Asociación.
ID: 8f3363bc-c9a1-4cc9-818b-7d7936bcbcf3 | 11 a 13 años | Participo en actividades y talleres en que aprendo la importancia de la comprensión internacional y la paz.
ID: 55483921-f740-4e87-ad94-590acf7a3b55 | 13 a 15 años | Participo en los contactos que mantiene mi Grupo con guías y scouts de otros países.
ID: 3f8479d3-c971-42ea-babc-989eae8b74db | 13 a 15 años | Me gusta saber cómo viven las personas en otros países.
ID: 9ed1f4d8-b2c7-405c-9f1b-9d1850f21f7a | 11 a 13 años | Ayudo en la limpieza y el mejoramiento de los lugares en que paseo y acampo.
ID: 04b948d1-dee0-44ba-9122-966844fd61bf | 11 a 13 años | He participado con mi patrulla en la mantención de un huerto productivo u otro proyecto similar.
ID: 46017e67-80b2-4334-a154-3c2d0dfda7e3 | 13 a 15 años | He participado con mi patrulla en proyectos de conservación.
ID: 15e0977f-8b22-4074-a6c4-7dc302a0a049 | 11 a 13 años | Me gusta sentirme parte de la cultura de mi país.
ID: 9478b46f-6f74-4a7e-bf9c-d66caaba1381 | 11 a 13 años | Cumplo los compromisos que asumo.
ID: ea86ecee-b201-4a49-be9d-4e55de7ffe8c | 13 a 15 años | Respeto a todas las personas, independientemente de sus ideas, su clase social y su forma de vida.
ID: 8bb5d75e-3033-4f5a-a1a5-d2f09b50ce25 | 13 a 15 años | Ayudo a mi patrulla en los compromisos que tomamos.
ID: 80b09c0c-3389-4fed-aaa8-ee1fc2ae8bf2 | 13 a 15 años | Participo en actividades relacionadas con los derechos de las personas.
ID: 813203a3-5467-4dad-9e4d-951d115556c2 | 13 a 15 años | Considero las opiniones de las demás personas cuando tengo que tomar decisiones que las afectan.
ID: cf246b8f-61bc-48f4-9310-0ce3967a5860 | 13 a 15 años | Opino con respeto sobre las personas que ejercen autoridad.
ID: d737dfda-2d8d-4ca8-b650-8612d90b434e | 11 a 13 años | Trabajo con las demás personas para lograr las metas que nos hemos propuesto.
ID: c7115070-c44f-4b79-94db-b8fe8dcbe44d | 11 a 13 años | Entiendo cuáles son mis responsabilidades cuando tengo un cargo.
ID: 047150a7-8af8-4ecf-9495-b371dda0e598 | 11 a 13 años | Sé qué hacen los bomberos, la policía, los hospitales, el municipio y otros servicios públicos de mi comunidad.
